Pagina,Id,Taxonouder,Taxonniveau,Verwijsnaam,TWNstatus,TWNmutatiedatum,Naam_Nederlands,Naam,Auteur,Begin geldigheid,Gerelateerd
Fragilaria rhabdosoma,26129,Fragilaria [1],Species,,20,2020-01-20,,Fragilaria rhabdosoma,C.G. Ehrenberg 1830,30 september 2023,
Dolichospermum crassum,26131,Dolichospermum [1],Species,,10,2020-09-07,,Dolichospermum crassum,"(E.J. Lemmermann 1898) P. Wacklin, L. Hoffmann et J. Komarek 2009",30 september 2023,
Cryptorchestia cavimana,26134,Cryptorchestia,Species,,10,2020-03-03,,Cryptorchestia cavimana,"(Heller, 1865)",30 september 2023,
Hygrobates longipalpis [1],26128,Hygrobates,Species,,10,2020-01-14,,Hygrobates longipalpis [1],"(Hermann, 1804) s.str.",30 september 2023,
Benthalia carbonaria,26137,Benthalia,Species,,10,2020-02-06,,Benthalia carbonaria,"(Meigen, 1804)",30 september 2023,
Dolichospermum [1],26132,Aphanizomenaceae,Genus,,10,2020-09-04,,Dolichospermum [1],"(J.-P.E. Bornet et C.H.M. Flahault 1886) P. Wacklin, L. Hoffmann et J. Komarek 2009",30 september 2023,
Hygrobates longipalpis [2],26127,Hygrobates,Species,,10,2020-01-14,,Hygrobates longipalpis [2],"(Hermann, 1804) s.l.",30 september 2023,
Cryptorchestia garbinii,26133,Cryptorchestia,Species,,10,2020-03-03,,Cryptorchestia garbinii,"Ruffo, Tarocco et Latella, 2014",30 september 2023,
Nitzschia liebethruthii [2],26125,Nitszchia,Species,,10,2020-10-16,,Nitzschia liebethruthii [2],"G.L. Rabenhorst 1864 s.l., sensu K. Krammer et H. Lange-Bertalot 1997 ('Liebetruthii')",30 september 2023,
Alexandrium pseudogoniaulax,26139,Alexandrium,Species,,10,2020-09-10,,Alexandrium pseudogoniaulax,(B. Biecheler 1952) T. Horiguchi 1983 ex K. Yuki et Y. Fukuyo 1992 ('pseudogonyaulax'),30 september 2023,
