Pagina,Id,Omschrijving,Waarde,Begin geldigheid,Gerelateerd
resten,9,resten,resten,2018-05-02,
sporen,8,sporen,sporen,2018-05-02,
volledig/dominant (>80%),7,volledig/dominant (>80%),volledig/dominant (>80%),2025-11-25,
uiterst/overvloedig (50%-80%),6,uiterst/overvloedig (50%-80%),uiterst/overvloedig (50%-80%),2025-11-25,
sterk/veel (15%-50%),5,sterk/veel (15%-50%),sterk/veel (15%-50%),2025-11-25,
matig (5%-15%),4,matig (5%-15%),matig (5%-15%),2021-08-18,
insluitingen,3,insluitingen,insluitingen,2018-05-02,
lenzen,2,lenzen,lenzen,2018-05-02,
weinig (2%-5%),13,weinig (2%-5%),weinig (2%-5%),2025-11-25,
zeer weinig (>0%-2%),12,zeer weinig (>0%-2%),zeer weinig (>0%-2%),2025-11-25,
laagjes,11,laagjes,laagjes,2018-05-02,
brokken,10,brokken,brokken,2018-05-02,
zwak (,1,zwak (<5%),zwak (<5%),2021-08-18,
