Pagina,Id,Omschrijving,Groep,Waarde,Begin geldigheid,Gerelateerd
matig grof,9,matig grof,NEN 5104,matig grof,2025-11-25,
zeer grof,8,zeer grof,NEN 5104,zeer grof,2025-11-25,
uiterst grof,7,uiterst grof,NEN 5104,uiterst grof,2025-11-25,
matig fijn,5,matig fijn,NEN 5104,matig fijn,2025-11-25,
zeer fijn,4,zeer fijn,NEN 5104,zeer fijn,2025-11-25,
uiterst fijn,3,uiterst fijn,NEN 5104,uiterst fijn,2025-11-25,
grof 630 - 2000 um,24,grof 630 - 2000 um,NEN 6693,grof 630 - 2000 um,2025-11-25,
middelgrof 420 - 630 um,23,middelgrof 420 - 630 um,NEN 6693,middelgrof 420 - 630 um,2025-11-25,
middelgrof 300 - 420 um,22,middelgrof 300 - 420 um,NEN 6693,middelgrof 300 - 420 um,2025-11-25,
middelgrof 200 - 300 um,21,middelgrof 200 - 300 um,NEN 6693,middelgrof 200 - 300 um,2025-11-25,
middelgrof 200 - 630 um,20,middelgrof 200 - 630 um,NEN 6693,middelgrof 200 - 630 um,2025-11-25,
fijn,2,fijn,NEN 5104,fijn,2025-11-25,
fijn 150 - 200 um,19,fijn 150 - 200 um,NEN 6693,fijn 150 - 200 um,2025-11-25,
fijn 105 - 150 um,18,fijn 105 - 150 um,NEN 6693,fijn 105 - 150 um,2025-11-25,
fijn 63 - 105 um,17,fijn 63 - 105 um,NEN 6693,fijn 63 - 105 um,2025-11-25,
fijn 63 - 200 um,16,fijn 63 - 200 um,NEN 6693,fijn 63 - 200 um,2025-11-25,
grof 20 - 63 mm,15,grof 20 - 63 mm,NEN 6693,grof 20 - 63 mm,2025-11-25,
"middelgrof 6,3 - 20 mm",14,"middelgrof 6,3 - 20 mm",NEN 6693,"middelgrof 6,3 - 20 mm",2025-11-25,
"fijn 2,0 - 6,3 mm",13,"fijn 2,0 - 6,3 mm",NEN 6693,"fijn 2,0 - 6,3 mm",2025-11-25,
vast,12,vast,,vast,2021-05-04,
matig stevig,11,matig stevig,,matig stevig,2021-05-04,
slap,10,slap,,slap,2021-05-04,
nvt,1,nvt,,nvt,2018-05-02,
