Pagina,Id,Code,Omschrijving,Groep,Naam,Begin geldigheid,Gerelateerd
"F=flow (debiet), T=transmitting (zendend)",9,FT,"F=flow (debiet), T=transmitting (zendend)",,Debietmeting,2023-07-27,
"F=flow (debiet), S=switch (schakelend)",8,FS,"F=flow (debiet), S=switch (schakelend)",,Debietdetectie,2023-07-27,
FIS,7,FIS,"F=flow (debiet), I=indicating (aanwijzend), S=switch (schakelend)",,Debietmeting,2023-07-03,
"F=flow (debiet), I=indicating (aanwijzend)",6,FI,"F=flow (debiet), I=indicating (aanwijzend)",,Debietmeting,2023-07-27,
"W=gewicht (weight), T=transmitting (zendend)",56,WT,"W=gewicht (weight), T=transmitting (zendend)",,Gewichtsmeting,2023-07-27,
"W=gewicht (weight), S=switch (schakelend)",54,WS,"W=gewicht (weight), S=switch (schakelend)",,Gewichtsdetectie,2023-07-27,
"W=gewicht (weight), I=indicating (aanwijzend)",52,WI,"W=gewicht (weight), I=indicating (aanwijzend)",,Gewichtsmeting,2023-07-27,
"V=viscositeit, T=transmitting (zendend)",51,VT,"V=viscositeit, T=transmitting (zendend)",,Viscositeitsmeting,2023-07-27,
"E=energie, T=transmitting (zendend)",5,ET,"E=energie, T=transmitting (zendend)",,Energiemeting,2023-07-27,
"V=viscositeit, S=switch (schakelend)",49,VS,"V=viscositeit, S=switch (schakelend)",,Viscositeitsdetectie,2023-07-27,
"V=viscositeit, I=indicating (aanwijzend)",47,VI,"V=viscositeit, I=indicating (aanwijzend)",,Viscositeitsmeting,2023-07-27,
"T=temperatuur (temperature), T=transmitting (zendend)",46,TT,"T=temperatuur (temperature), T=transmitting (zendend)",,Temperatuurmeting,2023-07-27,
"T=temperatuur (temperature), S=switch (schakelend)",44,TS,"T=temperatuur (temperature), S=switch (schakelend)",,Temperatuurdetectie,2023-07-27,
"T=temperatuur (temperature), I=indicating (aanwijzend)",42,TI,"T=temperatuur (temperature), I=indicating (aanwijzend)",,Temperatuurmeting,2023-07-27,
"S=snelheid (speed), T=transmitting (zendend)",41,ST,"S=snelheid (speed), T=transmitting (zendend)",,Toerentalmeting,2023-07-27,
"S=snelheid (speed), S=switch (schakelend)",40,SS,"S=snelheid (speed), S=switch (schakelend)",,Toerentaldetectie,2023-07-27,
"E=energie, I=indicating (aanwijzend)",4,EI,"E=energie, I=indicating (aanwijzend)",,Energiemeting,2023-07-27,
"S=snelheid (speed), I=indicating (aanwijzend)",39,SI,"S=snelheid (speed), I=indicating (aanwijzend)",,Toerentalmeting,2023-07-27,
"R=radiation (straling), T=transmitting (zendend)",38,RT,"R=radiation (straling), T=transmitting (zendend)",,Stralingsmeting,2023-07-27,
"R=radiation (straling), S=switch (schakelend)",37,RS,"R=radiation (straling), S=switch (schakelend)",,Stralingsdetectie,2023-07-27,
"R=radiation (straling), I=indicating (aanwijzend)",36,RI,"R=radiation (straling), I=indicating (aanwijzend)",,Stralingsmeting,2023-07-27,
"Q=quality (kwaliteit), T=transmitting (zendend)",35,QT,"Q=quality (kwaliteit), T=transmitting (zendend)",,Analyse (stofnaam van Analyse),2023-07-27,
"Q=quality (kwaliteit), S=switch (schakelend)",34,QS,"Q=quality (kwaliteit), S=switch (schakelend)",,Analyse (stofnaam van Analyse),2023-07-27,
"Q=quality (kwaliteit), I=indicating (aanwijzend)",32,QI,"Q=quality (kwaliteit), I=indicating (aanwijzend)",,Analyse (stofnaam van Analyse),2023-07-27,
"P=pressure (druk), T=transmitting (zendend)",31,PT,"P=pressure (druk), T=transmitting (zendend)",,Drukmeting,2023-07-27,
"D=density (dichtheid), T=transmitting (zendend)",3,DT,"D=density (dichtheid), T=transmitting (zendend)",,Dichtheidsmeting,2023-07-27,
"P=pressure (druk), S=switch (schakelend)",29,PS,"P=pressure (druk), S=switch (schakelend)",,Drukdetectie,2023-07-27,
"P=pressure (druk), I=indicating (aanwijzend)",27,PI,"P=pressure (druk), I=indicating (aanwijzend)",,Drukmeting,2023-07-27,
"M=moister content (vochtgehalte), T=transmitting (zendend)",23,MT,"M=moister content (vochtgehalte), T=transmitting (zendend)",,Vochtmeting,2023-07-27,
"M=moister content (vochtgehalte), S=switch (schakelend)",22,MS,"M=moister content (vochtgehalte), S=switch (schakelend)",,Vochtdetectie,2023-07-27,
"M=moister content (vochtgehalte), I=indicating (aanwijzend)",21,MI,"M=moister content (vochtgehalte), I=indicating (aanwijzend)",,Vochtmeting,2023-07-27,
"L=level (niveau), T=transmitting (zendend)",20,LT,"L=level (niveau), T=transmitting (zendend)",,Niveaumeting,2023-07-27,
"D=density (dichtheid), S=switch (schakelend)",2,DS,"D=density (dichtheid), S=switch (schakelend)",,Dichtheidsdetectie,2023-07-27,
"L=level (niveau), S=switch (schakelend)",18,LS,"L=level (niveau), S=switch (schakelend)",,Niveaudetectie of Lekdetectie,2023-07-27,
"L=level (niveau), I=indicating (aanwijzend)",16,LI,"L=level (niveau), I=indicating (aanwijzend)",,Niveaumeting,2023-07-27,
"G=gauging (afstand/lengte), T=transmitting (zendend)",13,GT,"G=gauging (afstand/lengte), T=transmitting (zendend)",,Standmeting,2023-07-27,
"G=gauging (afstand/lengte), S=switch (schakelend)",11,GS,"G=gauging (afstand/lengte), S=switch (schakelend)",,Standdetectie,2023-07-27,
"G=gauging (afstand/lengte), I=indicating (aanwijzend)",10,GI,"G=gauging (afstand/lengte), I=indicating (aanwijzend)",,Standmeting,2023-07-27,
"D=density (dichtheid), I=indicating (aanwijzend)",1,DI,"D=density (dichtheid), I=indicating (aanwijzend)",,Dichtheidsmeting,2023-07-27,
