Pagina,Id,Code,Omschrijving,Begin geldigheid,Gerelateerd
Roestvrij staal,9,RVS,Roestvrij staal,2018-12-05,
Borosilicaat glas,8,BG,Borosilicaat glas,2018-12-05,
Glas,7,G,Glas,2018-12-05,
Polyetheentereftalaat,6,PET,Polyetheentereftalaat,2018-12-05,
Polytetrafluorethyleen,5,PTFE,Polytetrafluorethyleen,2018-12-05,
Polycarbonaat,4,PC,Polycarbonaat,2018-12-05,
Polyethyleen,3,PE,Polyethyleen,2018-12-05,
Polypropyleen,2,PP,Polypropyleen,2018-12-05,
Niet bekend,10,NB,Niet bekend,2018-12-05,
Kunststof,1,P,Kunststof,2018-12-05,
