Pagina,Id,Code,Omschrijving,Groep,Wijzigingsnummer,Status,Begin geldigheid,Gerelateerd
Waterkering,9,wk,Waterkering,,W-2107-0023,Geldig,2022-03-09,waterkering
Watertransport,8,wt,Watertransport,,W-2107-0023,Geldig,2022-03-09,watertransport
Overig verwerken en afzetten slib,7,vo,Overig verwerken en afzetten slib,,W-2107-0023,Geldig,2022-03-09,overig verwerken en afzetten slib
Ontwateringslijn,6,ol,Ontwateringslijn,,W-2107-0023,Geldig,2022-03-09,ontwateringslijn
Overig zuiveren afvalwater,5,zo,Overig zuiveren afvalwater,,W-2107-0023,Geldig,2022-03-09,overig zuiveren afvalwater
Sliblijn,4,sl,Sliblijn,,W-2107-0023,Geldig,2022-03-09,sliblijn
Waterlijn,3,wl,Waterlijn,,W-2107-0023,Geldig,2022-03-09,waterlijn
Overig transporteren afvalwater,2,to,Overig transporteren afvalwater,,W-2107-0023,Geldig,2022-03-09,overig transporteren afvalwater
Transportlijn,1,tl,Transportlijn,,W-2107-0023,Geldig,2022-03-09,transportlijn
