Pagina,Id,Code,Omschrijving,Waarde,Begin geldigheid,Gerelateerd
Verschuiving,9,SHIFT,Verschuiving,Verschuiving,2016-03-08,
Aantal vrijheidsgraden,8,DGSFDM,Aantal vrijheidsgraden,Aantal vrijheidsgraden,2016-03-08,
Aantal waarnemingen (steekproef),7,AANTL,Aantal waarnemingen (steekproef),Aantal waarnemingen (steekproef),2016-03-08,
Maximum,6,MAX,Maximum,Maximum,2016-03-08,maximum waarde
Minimum,5,MIN,Minimum,Minimum,2016-03-08,minimum waarde
Covariantie,4,COV,Covariantie,Covariantie,2016-03-08,
Schaal,3,SCHAAL,Schaal,Schaal,2016-03-08,
Modus,2,MODUS,Modus,Modus,2016-03-08,
Vorm,11,SHAPE,Vorm,Vorm,2016-03-08,
Snelheid,10,RATE,Snelheid,Snelheid,2016-03-08,
Gemiddelde waarde,1,GEM,Gemiddelde waarde,Gemiddelde (locatie),2016-03-08,gemiddelde
