Pagina,Id,Code,Omschrijving,Typering,Grootheid,ChemischeStofObject,Eenheid,Hoedanigheid,AnalyseCompartiment,Begin geldigheid
[] [CONCTTE] [cletdm] [ug/l] [AtznD5] [OW],16315,WNS16315,[] [CONCTTE] [cletdm] [ug/l] [AtznD5] [OW],,,,,,,17 januari 2026
[] [CONCTTE] [propnll] [ug/l] [AtznD5] [OW],16347,WNS16347,[] [CONCTTE] [propnll] [ug/l] [AtznD5] [OW],,,,,,,17 januari 2026
[] [CONCTTE] [flunxne] [ug/l] [AtznD5] [OW],16379,WNS16379,[] [CONCTTE] [flunxne] [ug/l] [AtznD5] [OW],,,,,,,17 januari 2026
[] [CONCTTE] [monlde] [ug/l] [AtznD5] [OW],16338,WNS16338,[] [CONCTTE] [monlde] [ug/l] [AtznD5] [OW],,,,,,,17 januari 2026
[] [CONCTTE] [rosvstne] [ug/l] [BtznD6] [OW],16370,WNS16370,[] [CONCTTE] [rosvstne] [ug/l] [BtznD6] [OW],,,,,,,17 januari 2026
[] [CONCTTE] [34C1yeDoxafA] [ug/l] [AtznD5] [OW],16306,WNS16306,[] [CONCTTE] [34C1yeDoxafA] [ug/l] [AtznD5] [OW],,,,,,,17 januari 2026
[] [CONCTTE] [fostazt] [ug/l] [AtznD5] [OW],16329,WNS16329,[] [CONCTTE] [fostazt] [ug/l] [AtznD5] [OW],,,,,,,17 januari 2026
[] [CONCTTE] [TPPO] [ug/l] [AtznD5] [OW],16361,WNS16361,[] [CONCTTE] [TPPO] [ug/l] [AtznD5] [OW],,,,,,,17 januari 2026
[] [CONCTTE] [Dclofnc] [ug/l] [AtznD5] [OW],16320,WNS16320,[] [CONCTTE] [Dclofnc] [ug/l] [AtznD5] [OW],,,,,,,17 januari 2026
[] [CONCTTE] [sulfprdne] [ug/l] [AtznD5] [OW],16352,WNS16352,[] [CONCTTE] [sulfprdne] [ug/l] [AtznD5] [OW],,,,,,,17 januari 2026
