Pagina,Id,Omschrijving,Groep,Begin geldigheid,Gerelateerd
voetgangers,9,voetgangers,Verkeer,2011-11-11,
fietsers / bromgangers,8,fietsers / bromgangers,Verkeer,2011-11-11,
busverkeer,7,busverkeer,Verkeer,2011-11-11,
Snelverkeer,6,Snelverkeer,Verkeer,2011-11-11,
Plantvak,5,Plantvak,Terreinbeheer,2011-11-11,
Langzaam gemotoriseerd verkeer,4,Langzaam gemotoriseerd verkeer,Verkeer,2011-11-11,
Grasveld,3,Grasveld,Terreinbeheer,2011-11-11,gras
Gemengd verkeer,2,Gemengd verkeer,Verkeer,2011-11-11,verkeer
Berm/Talud,1,Berm/Talud,Terreinbeheer,2011-11-11,
